Overall_rank,Score,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Country_or_region
63,0.4928,0.7424,0.8683,0.425,0.1483,0.7803,0.7679,qejiixiu
64,0.5419,0.0445,0.7866,0.2141,0.1608,0.6775,0.8159,kvrhlyri
65,0.9987,0.0992,0.6624,0.9709,0.6319,0.0809,0.8751,oakqxxor
66,0.6519,0.9188,0.5214,0.0081,0.0604,0.3853,0.9649,uxjacvls
67,0.3739,0.2333,0.8932,0.0683,0.5158,0.983,0.5246,anny
68,0.8064,0.3872,0.0822,0.2546,0.3012,0.9049,0.673,nbhhw
69,0.9311,0.5275,0.1046,0.6204,0.302,0.7485,0.675,krvlonn
70,0.0807,0.2849,0.6277,0.9904,0.1715,0.8169,0.1248,pqvctvw
71,0.4764,0.6097,0.1084,0.4913,0.1499,0.4321,0.3797,pyfnd
72,0.6453,0.363,0.0264,0.1715,0.5978,0.5692,0.1571,kbnuba
73,0.9157,0.2092,0.7968,0.2047,0.161,0.1116,0.4491,bgmkwud
74,0.2258,0.1106,0.6162,0.0477,0.9396,0.8262,0.5432,sezuxgs
75,0.5568,0.304,0.7319,0.7656,0.9684,0.8397,0.9258,tjwrhr
76,0.0731,0.8757,0.0703,0.6866,0.0087,0.1476,0.6869,ajavxlw
77,0.4258,0.3967,0.3494,0.1577,0.6554,0.4765,0.4143,ejvi
78,0.2699,0.5972,0.2404,0.231,0.1939,0.0156,0.2445,skymnmyj
79,0.753,0.313,0.4695,0.6128,0.3196,0.5563,0.4281,eonesp
80,0.9838,0.5956,0.6907,0.0917,0.8462,0.2755,0.0855,frsmlweu
81,0.7108,0.472,0.396,0.8336,0.1789,0.3531,0.9013,nlsndx
82,0.9833,0.9497,0.2874,0.7239,0.7443,0.2705,0.5587,hrclo
83,0.5054,0.0063,0.1886,0.7577,0.2486,0.9705,0.8115,sekrasju
84,0.224,0.3147,0.3099,0.9381,0.5357,0.032,0.9569,lvhaqu
85,0.4713,0.8222,0.4439,0.895,0.1227,0.5647,0.0351,nmzhthw
86,0.4053,0.8517,0.293,0.5788,0.2773,0.7184,0.6824,mkztzby
87,0.038,0.9907,0.04,0.7546,0.2296,0.3753,0.7834,gpemx
88,0.3716,0.1267,0.8295,0.1897,0.0351,0.1784,0.3951,dfjwngtg
89,0.514,0.7551,0.8241,0.5707,0.4188,0.8937,0.4981,lvcycie
90,0.3303,0.1822,0.4364,0.0661,0.756,0.3026,0.478,htqxrrqv
91,0.633,0.9698,0.4707,0.4315,0.2914,0.0745,0.8618,nawf
92,0.6704,0.6701,0.5962,0.8835,0.2703,0.1643,0.3545,ixqekkq
93,0.8994,0.4676,0.3829,0.7167,0.0508,0.8291,0.8266,lyfks
94,0.4449,0.0374,0.1489,0.0454,0.7359,0.3499,0.5493,psro
95,0.634,0.1097,0.2131,0.2161,0.0521,0.8338,0.8922,ilbfoecj
96,0.6367,0.5944,0.0464,0.2519,0.5776,0.4759,0.1096,illsc
97,0.2479,0.2912,0.6022,0.3548,0.2352,0.0083,0.828,invromjg
98,0.1369,0.0548,0.5708,0.698,0.3816,0.7519,0.2893,ivtjb
99,0.4127,0.1572,0.0991,0.5089,0.0191,0.4585,0.8055,xmfech
100,0.3814,0.4186,0.0606,0.4922,0.2132,0.2023,0.001,ceya
101,0.9836,0.0719,0.7757,0.971,0.1055,0.6278,0.9092,vsrzzb
102,0.0228,0.4587,0.0778,0.9152,0.8818,0.8183,0.5947,cvxqz
103,0.326,0.228,0.0111,0.1968,0.5194,0.5422,0.9119,yqppjpj
104,0.0573,0.0412,0.3257,0.4654,0.4705,0.9442,0.8013,aydsysp
105,0.5225,0.7288,0.8201,0.091,0.284,0.4997,0.3435,cjnwcmsp
106,0.2402,0.2942,0.9123,0.447,0.5983,0.0253,0.2173,zrmy
107,0.8267,0.5963,0.4859,0.7281,0.05,0.9356,0.6961,xfojwj
108,0.9009,0.951,0.2275,0.5426,0.8308,0.087,0.6421,hvoaczp
109,0.5998,0.6813,0.2981,0.4945,0.449,0.6819,0.2362,qhjmg
110,0.9304,0.7399,0.2663,0.7295,0.3238,0.1027,0.4805,tzhgqbn
111,0.0407,0.0296,0.461,0.1185,0.2338,0.419,0.4309,ueiuj
112,0.1234,0.1446,0.5839,0.6838,0.4129,0.0399,0.457,fioqcc
113,0.7156,0.7046,0.0069,0.618,0.3063,0.9783,0.7738,jflg
114,0.3329,0.7639,0.5549,0.9958,0.4759,0.1586,0.9573,iuutnjlo
115,0.4234,0.7,0.8429,0.4853,0.4918,0.7237,0.1368,glonzmfx
116,0.3879,0.5565,0.6218,0.214,0.0784,0.7387,0.5117,zzbmiy
117,0.29,0.2989,0.7862,0.8715,0.2754,0.6618,0.4499,pqgv
118,0.5435,0.9441,0.1202,0.8775,0.5735,0.7551,0.9013,fhhjfn
119,0.96,0.0271,0.125,0.5405,0.6429,0.7571,0.799,qfwggtzs
120,0.5461,0.8865,0.9732,0.685,0.6527,0.2357,0.2653,fkhwlcn
121,0.2421,0.6374,0.9848,0.4005,0.2975,0.8595,0.169,pvlrts
122,0.4362,0.622,0.9118,0.2473,0.6894,0.903,0.7844,yxeanixx
123,0.1909,0.2253,0.8789,0.7673,0.9422,0.2188,0.7577,nqvytevb
124,0.6194,0.3896,0.8528,0.5358,0.2088,0.8303,0.2828,kjulh
125,0.3812,0.016,0.6368,0.8847,0.4741,0.784,0.2984,mdoscovg
126,0.4778,0.3961,0.6793,0.5463,0.739,0.8516,0.1665,yygah
127,0.0084,0.641,0.6207,0.132,0.9575,0.5246,0.2633,tykma
128,0.6143,0.1933,0.8954,0.6368,0.0571,0.8294,0.9664,dyebs
129,0.5646,0.886,0.9666,0.0245,0.4124,0.9407,0.3156,tnkun
130,0.9647,0.4315,0.7878,0.6402,0.6319,0.6743,0.7797,ryhmvpa
131,0.4787,0.5714,0.7974,0.6595,0.2834,0.6119,0.4402,eblb
132,0.1642,0.5585,0.9225,0.986,0.5697,0.4487,0.3753,lzmoh
133,0.1038,0.5589,0.3351,0.1999,0.1483,0.7837,0.8695,xmri
134,0.2449,0.2314,0.6859,0.0237,0.4352,0.0425,0.1427,xcygusks
135,0.7515,0.3677,0.7332,0.6166,0.8392,0.1708,0.9071,iehiraql
136,0.7514,0.7434,0.0582,0.5654,0.1288,0.3152,0.7388,knue
137,0.6394,0.6385,0.243,0.7906,0.348,0.4076,0.6535,tqivjldi
138,0.9982,0.9132,0.1033,0.5925,0.2994,0.9833,0.6453,kbxssrm
139,0.9255,0.4808,0.4254,0.0444,0.8187,0.9587,0.2984,basbk
140,0.8915,0.235,0.2,0.489,0.6048,0.0069,0.3518,qtxct
141,0.0821,0.9271,0.3778,0.8202,0.2377,0.1004,0.9026,vzzt
142,0.9555,0.6102,0.1397,0.2973,0.3788,0.6843,0.7527,szquvdz
143,0.9579,0.5157,0.3291,0.0631,0.9582,0.3099,0.0012,rcnadut
144,0.8983,0.3955,0.0291,0.8476,0.3408,0.0555,0.2294,jnvopb
145,0.0008,0.4471,0.7957,0.0399,0.462,0.0691,0.8729,chirnhor
146,0.4592,0.7565,0.3198,0.1734,0.37,0.02,0.3246,ikoejdj
147,0.1996,0.4436,0.7294,0.9229,0.2065,0.3996,0.9162,qipk
148,0.648,0.0202,0.4769,0.4361,0.9348,0.5955,0.77,lpfj
149,0.8088,0.0341,0.9665,0.6947,0.1571,0.5171,0.0757,xdugxdqp
150,0.4469,0.1391,0.0206,0.4971,0.334,0.4915,0.2542,frcwf
151,0.2784,0.7819,0.1166,0.2153,0.8175,0.9895,0.2872,hbetze
152,0.0472,0.588,0.3625,0.2237,0.8947,0.9432,0.7686,kbmofx
153,0.1304,0.0173,0.4365,0.0068,0.7157,0.548,0.7273,zwuxl
154,0.803,0.856,0.8677,0.9237,0.0992,0.8148,0.7834,jetjgb
155,0.7436,0.3722,0.5505,0.9243,0.4074,0.9934,0.7042,hcusdx
156,0.2803,0.6397,0.6664,0.8057,0.4815,0.3338,0.4832,eyebrml
157,0.8328,0.5783,0.8232,0.4667,0.8098,0.2417,0.8264,ksfapcn
158,0.4352,0.865,0.9918,0.0421,0.7846,0.9754,0.3768,refuwvwg
159,0.9388,0.0558,0.6666,0.7198,0.2614,0.2172,0.3375,ssyf
160,0.2405,0.5211,0.2804,0.6206,0.1019,0.323,0.8973,nwybkw
161,0.6302,0.4012,0.7623,0.9007,0.6605,0.5943,0.6155,tnyt
162,0.7257,0.0468,0.6973,0.8131,0.3159,0.9112,0.6937,fumgvgtk
163,0.5586,0.4811,0.8473,0.9694,0.6514,0.7098,0.1629,ypkkfqni
164,0.1847,0.3354,0.3745,0.2258,0.1892,0.9525,0.5002,bepedz
165,0.7486,0.6432,0.5682,0.8965,0.238,0.201,0.5591,ptqtzcri
166,0.9405,0.1091,0.4182,0.0571,0.5643,0.1401,0.2827,wrwyyy
167,0.9357,0.4077,0.5242,0.5327,0.4708,0.5298,0.6492,ofpj
168,0.2528,0.7775,0.2732,0.2752,0.888,0.86,0.868,nemwmyv
169,0.1,0.5608,0.4597,0.6373,0.8498,0.7415,0.3531,sadig
170,0.5505,0.6867,0.5253,0.5869,0.7614,0.419,0.7291,njledkt
171,0.0342,0.5205,0.0761,0.3656,0.9422,0.0528,0.1054,dmfaqe
172,0.1734,0.5341,0.0757,0.8353,0.4049,0.3589,0.3731,sride
173,0.9343,0.2506,0.0734,0.7772,0.535,0.7437,0.8725,qpxlskzd
174,0.1588,0.4071,0.1803,0.1438,0.3346,0.0812,0.554,owkqsgk
175,0.3743,0.7542,0.9941,0.424,0.036,0.5385,0.1507,hxepwiwt
176,0.0167,0.6775,0.9472,0.5621,0.7035,0.5506,0.9964,cxdtvxs
177,0.1807,0.046,0.4173,0.4891,0.4407,0.594,0.8231,hrucrtd
178,0.4721,0.9676,0.1112,0.5803,0.4515,0.2348,0.8496,wyorw
179,0.9168,0.4034,0.5376,0.6833,0.8767,0.536,0.9219,hqze
180,0.8322,0.0983,0.9355,0.2961,0.3277,0.9489,0.11,drtfft
181,0.5034,0.8315,0.6643,0.355,0.4397,0.5185,0.2409,jvyeoo
182,0.8758,0.4986,0.4334,0.9946,0.0834,0.8735,0.9919,oeomadq
183,0.2112,0.5473,0.5365,0.8823,0.2919,0.7343,0.7669,hibwgte
184,0.8895,0.9209,0.0846,0.1866,0.6389,0.0858,0.6733,dxlfgi
185,0.734,0.8188,0.7633,0.0859,0.2522,0.4966,0.3983,dbbyhdzp
186,0.9326,0.2084,0.8161,0.7585,0.152,0.931,0.3622,fjkbrik
187,0.1234,0.0784,0.4255,0.6051,0.5095,0.1898,0.5461,nfamakl
188,0.4512,0.4927,0.8365,0.0785,0.3026,0.3483,0.9438,oqkda
189,0.9395,0.6839,0.2472,0.7885,0.9084,0.4669,0.8304,dkjtel
190,0.1983,0.9737,0.1048,0.568,0.992,0.3863,0.745,fvrrh
191,0.8681,0.077,0.9865,0.6571,0.4183,0.3866,0.3357,gfqkz
192,0.5739,0.6946,0.1408,0.4577,0.9567,0.1261,0.9763,yomcdw
193,0.834,0.5714,0.4002,0.7991,0.6137,0.9229,0.8945,pdkcx
194,0.9715,0.7471,0.2533,0.364,0.404,0.4356,0.287,zclweayw
195,0.9395,0.8343,0.3174,0.8475,0.3192,0.7698,0.5299,pudyy
196,0.8392,0.1095,0.9714,0.9911,0.1356,0.1922,0.3253,meqwliyi
197,0.867,0.7146,0.1789,0.1188,0.7095,0.1391,0.5188,aalvxky
198,0.9532,0.9493,0.8377,0.7288,0.572,0.4894,0.0858,uueolvc
199,0.8696,0.1604,0.7929,0.5989,0.4524,0.1371,0.4889,cqidbjs
200,0.7477,0.8472,0.6849,0.947,0.6212,0.9374,0.2584,fdefks
201,0.3067,0.5365,0.7192,0.9598,0.0427,0.7705,0.9751,mdwdj
202,0.0742,0.2093,0.0652,0.5776,0.5353,0.2745,0.6764,aciwqqw
203,0.2677,0.4314,0.9666,0.9976,0.8224,0.691,0.7194,indhxb
204,0.5885,0.7197,0.8868,0.8274,0.6934,0.2781,0.3103,eftx
205,0.1792,0.9359,0.4422,0.337,0.6717,0.0678,0.3639,wpcr
206,0.881,0.5725,0.8347,0.802,0.8442,0.1176,0.4939,tolzqoj
207,0.2865,0.1419,0.3815,0.5199,0.2365,0.837,0.6988,aknw
208,0.7176,0.7101,0.4394,0.6349,0.2012,0.8444,0.7829,eyztbtvx
209,0.4753,0.5611,0.1411,0.7539,0.9458,0.668,0.5541,nqfdb
210,0.4198,0.3118,0.663,0.5435,0.7238,0.9242,0.8557,ebenkzyk
211,0.3943,0.4198,0.8111,0.2044,0.6658,0.4856,0.4923,mzrnqtew
212,0.3479,0.9103,0.8295,0.3651,0.277,0.0327,0.9215,aevdhru
213,0.7598,0.6784,0.9569,0.5288,0.8054,0.8841,0.3303,btocold
214,0.5165,0.7548,0.2106,0.0099,0.8805,0.6097,0.0779,mdpfqtb
215,0.6655,0.4209,0.8892,0.3422,0.4603,0.5703,0.7161,fsszhin
216,0.847,0.8782,0.3072,0.2629,0.3428,0.4139,0.5474,lsskc
217,0.9964,0.6742,0.2699,0.2565,0.0796,0.084,0.2982,cfpvctq
218,0.2382,0.5551,0.0138,0.3424,0.7683,0.9393,0.9193,xbgcq
219,0.5471,0.0421,0.3355,0.6479,0.4702,0.1504,0.9199,hbhtxgvw
220,0.301,0.6061,0.7538,0.6399,0.0099,0.6431,0.4019,wqtr
221,0.1666,0.5145,0.8734,0.9723,0.3286,0.7135,0.203,cmnfubmj
222,0.5702,0.3897,0.9717,0.0958,0.148,0.8714,0.3696,wjzvxes
223,0.1288,0.7458,0.8265,0.3757,0.8519,0.7471,0.5205,wbejy
224,0.1185,0.8708,0.6946,0.5466,0.7304,0.1246,0.7583,hljwzwv
225,0.6777,0.7359,0.2397,0.3529,0.6662,0.8659,0.4064,yytylkl
226,0.734,0.9192,0.9198,0.4741,0.5974,0.3927,0.9286,prdtjqwq
227,0.2665,0.4906,0.8675,0.9735,0.9235,0.4748,0.3172,lagqghnf
228,0.6377,0.6549,0.4836,0.8871,0.2549,0.6306,0.9,qsmbjxv
229,0.8675,0.198,0.3112,0.5936,0.0763,0.4521,0.8147,xydtcptg
230,0.4277,0.3169,0.2232,0.6083,0.3886,0.2833,0.4349,xvtfnueh
231,0.7496,0.2045,0.034,0.1795,0.1149,0.6981,0.4262,qecskuik
232,0.2422,0.6232,0.0446,0.2276,0.8821,0.6752,0.8276,lhnfbbc
233,0.7003,0.2413,0.1399,0.3856,0.2785,0.8538,0.1019,xtolndyi
234,0.2752,0.3114,0.5454,0.5181,0.59,0.4641,0.499,ioba
235,0.5541,0.3451,0.1483,0.3148,0.7393,0.6848,0.3769,yiilo
236,0.4127,0.5416,0.7927,0.2757,0.2001,0.1633,0.2202,lgkcxnz
237,0.7366,0.5382,0.3212,0.7746,0.739,0.5141,0.1496,koqkqy
238,0.6915,0.9186,0.3257,0.7705,0.8961,0.4321,0.326,itvx
239,0.47,0.5175,0.1657,0.2073,0.2054,0.0668,0.7887,qyxgc
240,0.6701,0.1103,0.038,0.1276,0.3213,0.1195,0.0585,cetolk
241,0.1442,0.9748,0.6852,0.9764,0.7579,0.0845,0.5904,kypx
242,0.9536,0.7713,0.765,0.0389,0.9531,0.6201,0.6275,atcjoq
243,0.637,0.652,0.1696,0.0779,0.6955,0.9441,0.4938,titii
244,0.1885,0.0873,0.0569,0.8644,0.7051,0.3714,0.4368,eykjqg
245,0.9237,0.1911,0.5259,0.474,0.5055,0.7872,0.4951,otrqxkv
246,0.4897,0.8508,0.6605,0.8381,0.0771,0.8687,0.3155,etlyutcq
247,0.9607,0.3066,0.2657,0.0571,0.7171,0.0789,0.1121,mqli
248,0.2279,0.838,0.0241,0.7787,0.922,0.0477,0.5561,ogfmj
249,0.7994,0.9707,0.8545,0.1025,0.8272,0.8692,0.645,tnddjq
250,0.1078,0.1667,0.4887,0.4113,0.208,0.6844,0.5178,ibeepwiy
251,0.3901,0.4456,0.578,0.9166,0.6323,0.9443,0.4601,hyuefcs
252,0.1272,0.1221,0.6937,0.807,0.9605,0.073,0.1881,phrhkn
253,0.9427,0.2275,0.992,0.9664,0.2412,0.9475,0.7887,ajnrqq
254,0.0892,0.7374,0.9343,0.2788,0.1311,0.748,0.0669,mstvgotm
255,0.0366,0.7154,0.987,0.6913,0.6666,0.1266,0.493,hoqcueta
256,0.5686,0.0093,0.1503,0.9509,0.0704,0.5128,0.7762,gvzhbd
257,0.8795,0.5543,0.6724,0.6753,0.5094,0.5668,0.084,dzzqfce
258,0.4738,0.1627,0.5457,0.097,0.5517,0.6817,0.1713,xnkvyl
259,0.9847,0.3748,0.9359,0.5554,0.479,0.0912,0.4686,iaams
260,0.7979,0.3542,0.8742,0.3156,0.3497,0.4909,0.6863,eokh
261,0.2075,0.6296,0.56,0.9295,0.4992,0.5989,0.6828,fnbs
262,0.4341,0.0601,0.7236,0.5895,0.8006,0.6147,0.8042,opjiu
263,0.6565,0.2498,0.9088,0.8952,0.9051,0.9881,0.2014,wrrnjyub
264,0.4772,0.5597,0.6282,0.2486,0.2109,0.766,0.2304,tteurrx
265,0.7954,0.7434,0.8114,0.2938,0.3151,0.8159,0.7215,cmsh
266,0.0688,0.2032,0.8402,0.9277,0.2286,0.0962,0.1437,arlycpg
267,0.0451,0.2746,0.8222,0.6189,0.1297,0.2545,0.5968,qzkxksx
268,0.6363,0.6243,0.4757,0.9679,0.7464,0.5789,0.9975,eaaqw
269,0.4422,0.6885,0.2061,0.6994,0.7859,0.7455,0.6796,pelpy
270,0.9816,0.5131,0.3334,0.6201,0.5463,0.3405,0.136,qxugn
271,0.5431,0.3672,0.7875,0.533,0.7529,0.0298,0.7041,mjxy
272,0.32,0.3309,0.5654,0.8199,0.165,0.4003,0.8415,xednmkyh
273,0.6857,0.5441,0.5007,0.5874,0.4951,0.4845,0.1843,owhycja
274,0.4239,0.759,0.3656,0.3246,0.687,0.2628,0.7961,znzywxg
275,0.0816,0.4923,0.7212,0.1966,0.328,0.718,0.52,zzjy
276,0.4474,0.0958,0.478,0.007,0.1982,0.3869,0.2607,pnhee
277,0.4505,0.9166,0.8274,0.4459,0.1589,0.6891,0.4693,lsylfctw
278,0.6527,0.9572,0.874,0.1135,0.7229,0.3589,0.0487,jwcclj
279,0.777,0.0594,0.0483,0.1838,0.3206,0.3053,0.7237,eeocz
280,0.1042,0.6222,0.7932,0.2193,0.3183,0.7665,0.7621,zbal
281,0.6522,0.6872,0.2852,0.6333,0.9709,0.9463,0.7629,ehaegvi
282,0.3956,0.8532,0.914,0.2294,0.3804,0.8198,0.877,qjse
283,0.5591,0.8713,0.8108,0.6995,0.8254,0.7962,0.0692,kefvo
284,0.0733,0.6425,0.4359,0.071,0.8683,0.0633,0.8734,rnawpbm
285,0.8361,0.3927,0.9268,0.9558,0.5437,0.8383,0.9076,eytqrrks
286,0.0803,0.3858,0.8214,0.7045,0.0605,0.4261,0.5808,ysuqta
287,0.7183,0.8886,0.229,0.102,0.721,0.0649,0.6598,omzzif
288,0.0571,0.4063,0.1664,0.0233,0.1922,0.9536,0.9347,mjcztc
289,0.4341,0.9648,0.603,0.7257,0.6414,0.5737,0.5955,mohtwux
290,0.8364,0.5727,0.0368,0.9015,0.9646,0.2721,0.7355,addjj
291,0.1097,0.6655,0.1013,0.9644,0.5382,0.1408,0.3918,emjilcc
292,0.3695,0.0857,0.6113,0.4169,0.1003,0.44,0.894,ndekgmi
293,0.2819,0.8735,0.9241,0.7682,0.6269,0.116,0.2725,glqam
294,0.903,0.8332,0.6092,0.1288,0.6765,0.6259,0.3593,tvddkovn
295,0.1278,0.2585,0.2593,0.7666,0.4275,0.608,0.7349,ayjfliij
296,0.7208,0.482,0.0504,0.6642,0.0584,0.7709,0.871,dltwwlio
297,0.272,0.0317,0.3625,0.1451,0.7249,0.5447,0.6402,aefqexea
298,0.6573,0.2319,0.2718,0.0528,0.6129,0.1185,0.7804,ffdfaar
299,0.762,0.3959,0.8102,0.6184,0.582,0.0395,0.1738,pojobw
300,0.6529,0.2952,0.0297,0.3329,0.8201,0.5239,0.2011,fpzsdu
301,0.0284,0.7744,0.8156,0.5403,0.0996,0.5197,0.8891,hiuwpofm
302,0.2576,0.7137,0.4767,0.2109,0.0949,0.1186,0.0753,btgj
303,0.1751,0.3419,0.7452,0.7074,0.8409,0.7226,0.1525,ztpdwz
304,0.7913,0.47,0.1483,0.9373,0.2972,0.4414,0.1782,hqlgpam
305,0.7226,0.7746,0.3582,0.4627,0.7823,0.7035,0.4371,pusfam
306,0.8712,0.6699,0.9771,0.7635,0.7612,0.373,0.7876,plhhal
307,0.4789,0.3389,0.2588,0.626,0.0161,0.6052,0.4026,dbuydvs
308,0.3811,0.1596,0.2237,0.9294,0.1495,0.7443,0.2496,kvgjoc
309,0.8329,0.0064,0.1603,0.6484,0.8406,0.5615,0.6298,rgwc
310,0.095,0.6747,0.6317,0.5778,0.9005,0.5539,0.2229,dsyiuula
311,0.1654,0.4369,0.8212,0.2244,0.8668,0.6165,0.9694,jvfqm
312,0.2454,0.537,0.7698,0.8189,0.5498,0.4522,0.5825,ihghwpee
313,0.2102,0.7946,0.5513,0.8398,0.4198,0.6971,0.6451,dlwxlnk
314,0.4315,0.6981,0.1127,0.8631,0.2736,0.9086,0.4957,abdbwkci
315,0.9785,0.1195,0.7447,0.1734,0.6804,0.7419,0.8219,msldnj
316,0.696,0.5592,0.2045,0.4152,0.3399,0.3324,0.4169,rglds
317,0.1491,0.2978,0.4873,0.0312,0.5064,0.8711,0.543,kwhikppd
318,0.0215,0.0167,0.084,0.259,0.9421,0.4854,0.3808,dlqp
319,0.6665,0.0791,0.3978,0.188,0.1643,0.9885,0.0586,jqpny
320,0.4394,0.5523,0.1556,0.7319,0.6269,0.0583,0.5503,nroyivs
321,0.7111,0.1605,0.7394,0.9258,0.3334,0.668,0.2559,gjfqrlua
322,0.7313,0.1357,0.0278,0.0652,0.3891,0.019,0.441,ubgw
323,0.7137,0.4035,0.1135,0.2332,0.9906,0.3158,0.5323,tgba
324,0.9189,0.8781,0.7246,0.3069,0.7301,0.3098,0.8328,zwwfqqn
325,0.724,0.8567,0.6158,0.3746,0.7814,0.8753,0.9195,iaozjn
